Term_ID	Term_name	Map_ID
mmu05321	Inflammatory bowel disease	map05321
mmu05330	Allograft rejection	map05330
mmu05332	Graft-versus-host disease	map05332
mmu05340	Primary immunodeficiency	map05340
mmu05010	Alzheimer disease	map05010
mmu05012	Parkinson disease	map05012
mmu05014	Amyotrophic lateral sclerosis	map05014
mmu05016	Huntington disease	map05016
mmu05017	Spinocerebellar ataxia	map05017
mmu05020	Prion disease	map05020
mmu05022	Pathways of neurodegeneration - multiple diseases	map05022
mmu05030	Cocaine addiction	map05030
mmu05031	Amphetamine addiction	map05031
mmu05032	Morphine addiction	map05032
mmu05033	Nicotine addiction	map05033
mmu05034	Alcoholism	map05034
mmu05417	Lipid and atherosclerosis	map05417
mmu05418	Fluid shear stress and atherosclerosis	map05418
mmu05410	Hypertrophic cardiomyopathy	map05410
mmu05412	Arrhythmogenic right ventricular cardiomyopathy	map05412
mmu05414	Dilated cardiomyopathy	map05414
mmu05415	Diabetic cardiomyopathy	map05415
mmu05416	Viral myocarditis	map05416
mmu04930	Type II diabetes mellitus	map04930
mmu04940	Type I diabetes mellitus	map04940
mmu04950	Maturity onset diabetes of the young	map04950
mmu04936	Alcoholic liver disease	map04936
mmu04932	Non-alcoholic fatty liver disease	map04932
mmu04931	Insulin resistance	map04931
mmu04933	AGE-RAGE signaling pathway in diabetic complications	map04933
mmu04934	Cushing syndrome	map04934
mmu01521	EGFR tyrosine kinase inhibitor resistance	map01521
mmu01524	Platinum drug resistance	map01524
mmu01523	Antifolate resistance	map01523
mmu01522	Endocrine resistance	map01522
