Feature_ID	Term_ID	Term_name
C16338	mmu00592	alpha-Linolenic acid metabolism
C16339	mmu00592	alpha-Linolenic acid metabolism
C16341	mmu00592	alpha-Linolenic acid metabolism
C16342	mmu00592	alpha-Linolenic acid metabolism
C16343	mmu00592	alpha-Linolenic acid metabolism
C16344	mmu00592	alpha-Linolenic acid metabolism
C16345	mmu00592	alpha-Linolenic acid metabolism
C16346	mmu00592	alpha-Linolenic acid metabolism
C16780	mmu00592	alpha-Linolenic acid metabolism
C16781	mmu00592	alpha-Linolenic acid metabolism
C17611	mmu00592	alpha-Linolenic acid metabolism
C18051	mmu00592	alpha-Linolenic acid metabolism
C19757	mmu00592	alpha-Linolenic acid metabolism
C21923	mmu00592	alpha-Linolenic acid metabolism
C21924	mmu00592	alpha-Linolenic acid metabolism
C23138	mmu00592	alpha-Linolenic acid metabolism
C23139	mmu00592	alpha-Linolenic acid metabolism
C23140	mmu00592	alpha-Linolenic acid metabolism
C23141	mmu00592	alpha-Linolenic acid metabolism
C23142	mmu00592	alpha-Linolenic acid metabolism
C23143	mmu00592	alpha-Linolenic acid metabolism
C23144	mmu00592	alpha-Linolenic acid metabolism
C23145	mmu00592	alpha-Linolenic acid metabolism
C23146	mmu00592	alpha-Linolenic acid metabolism
C23147	mmu00592	alpha-Linolenic acid metabolism
C23148	mmu00592	alpha-Linolenic acid metabolism
C23149	mmu00592	alpha-Linolenic acid metabolism
C00065	mmu00600	Sphingolipid metabolism
C00154	mmu00600	Sphingolipid metabolism
C00195	mmu00600	Sphingolipid metabolism
C00319	mmu00600	Sphingolipid metabolism
C00346	mmu00600	Sphingolipid metabolism
C00550	mmu00600	Sphingolipid metabolism
C00836	mmu00600	Sphingolipid metabolism
C01120	mmu00600	Sphingolipid metabolism
C01190	mmu00600	Sphingolipid metabolism
C01290	mmu00600	Sphingolipid metabolism
C01747	mmu00600	Sphingolipid metabolism
C02686	mmu00600	Sphingolipid metabolism
C02934	mmu00600	Sphingolipid metabolism
C02960	mmu00600	Sphingolipid metabolism
C03108	mmu00600	Sphingolipid metabolism
C03272	mmu00600	Sphingolipid metabolism
C03405	mmu00600	Sphingolipid metabolism
C03640	mmu00600	Sphingolipid metabolism
C04730	mmu00600	Sphingolipid metabolism
C04737	mmu00600	Sphingolipid metabolism
C04884	mmu00600	Sphingolipid metabolism
C04911	mmu00600	Sphingolipid metabolism
C05681	mmu00600	Sphingolipid metabolism
C06062	mmu00600	Sphingolipid metabolism
C06124	mmu00600	Sphingolipid metabolism
C06125	mmu00600	Sphingolipid metabolism
C06126	mmu00600	Sphingolipid metabolism
C06127	mmu00600	Sphingolipid metabolism
C06128	mmu00600	Sphingolipid metabolism
C06135	mmu00600	Sphingolipid metabolism
C06136	mmu00600	Sphingolipid metabolism
C12126	mmu00600	Sphingolipid metabolism
C12144	mmu00600	Sphingolipid metabolism
C12145	mmu00600	Sphingolipid metabolism
C22467	mmu00600	Sphingolipid metabolism
C23072	mmu00600	Sphingolipid metabolism
C00022	mmu00620	Pyruvate metabolism
C00024	mmu00620	Pyruvate metabolism
C00033	mmu00620	Pyruvate metabolism
C00036	mmu00620	Pyruvate metabolism
C00042	mmu00620	Pyruvate metabolism
C00058	mmu00620	Pyruvate metabolism
C00068	mmu00620	Pyruvate metabolism
C00074	mmu00620	Pyruvate metabolism
C00083	mmu00620	Pyruvate metabolism
C00084	mmu00620	Pyruvate metabolism
C00122	mmu00620	Pyruvate metabolism
C00149	mmu00620	Pyruvate metabolism
C00186	mmu00620	Pyruvate metabolism
C00227	mmu00620	Pyruvate metabolism
C00256	mmu00620	Pyruvate metabolism
C00332	mmu00620	Pyruvate metabolism
C00424	mmu00620	Pyruvate metabolism
C00469	mmu00620	Pyruvate metabolism
C00546	mmu00620	Pyruvate metabolism
C00937	mmu00620	Pyruvate metabolism
C01251	mmu00620	Pyruvate metabolism
