Feature_ID	Term_ID	Term_name
140919	mmu04724	Glutamatergic synapse
14645	mmu04724	Glutamatergic synapse
14660	mmu04724	Glutamatergic synapse
14677	mmu04724	Glutamatergic synapse
14678	mmu04724	Glutamatergic synapse
14679	mmu04724	Glutamatergic synapse
14681	mmu04724	Glutamatergic synapse
14682	mmu04724	Glutamatergic synapse
14683	mmu04724	Glutamatergic synapse
14688	mmu04724	Glutamatergic synapse
14693	mmu04724	Glutamatergic synapse
14695	mmu04724	Glutamatergic synapse
14696	mmu04724	Glutamatergic synapse
14697	mmu04724	Glutamatergic synapse
14699	mmu04724	Glutamatergic synapse
14700	mmu04724	Glutamatergic synapse
14701	mmu04724	Glutamatergic synapse
14702	mmu04724	Glutamatergic synapse
14704	mmu04724	Glutamatergic synapse
14706	mmu04724	Glutamatergic synapse
14707	mmu04724	Glutamatergic synapse
14708	mmu04724	Glutamatergic synapse
14709	mmu04724	Glutamatergic synapse
14710	mmu04724	Glutamatergic synapse
14799	mmu04724	Glutamatergic synapse
14800	mmu04724	Glutamatergic synapse
14802	mmu04724	Glutamatergic synapse
14805	mmu04724	Glutamatergic synapse
14806	mmu04724	Glutamatergic synapse
14807	mmu04724	Glutamatergic synapse
14809	mmu04724	Glutamatergic synapse
14810	mmu04724	Glutamatergic synapse
14811	mmu04724	Glutamatergic synapse
14812	mmu04724	Glutamatergic synapse
14813	mmu04724	Glutamatergic synapse
14814	mmu04724	Glutamatergic synapse
14816	mmu04724	Glutamatergic synapse
14823	mmu04724	Glutamatergic synapse
16438	mmu04724	Glutamatergic synapse
16439	mmu04724	Glutamatergic synapse
16440	mmu04724	Glutamatergic synapse
16519	mmu04724	Glutamatergic synapse
170483	mmu04724	Glutamatergic synapse
18747	mmu04724	Glutamatergic synapse
18749	mmu04724	Glutamatergic synapse
18750	mmu04724	Glutamatergic synapse
18751	mmu04724	Glutamatergic synapse
18752	mmu04724	Glutamatergic synapse
18783	mmu04724	Glutamatergic synapse
18795	mmu04724	Glutamatergic synapse
18796	mmu04724	Glutamatergic synapse
18797	mmu04724	Glutamatergic synapse
18798	mmu04724	Glutamatergic synapse
18805	mmu04724	Glutamatergic synapse
18806	mmu04724	Glutamatergic synapse
19055	mmu04724	Glutamatergic synapse
19056	mmu04724	Glutamatergic synapse
19057	mmu04724	Glutamatergic synapse
19058	mmu04724	Glutamatergic synapse
19059	mmu04724	Glutamatergic synapse
20510	mmu04724	Glutamatergic synapse
20511	mmu04724	Glutamatergic synapse
20512	mmu04724	Glutamatergic synapse
20513	mmu04724	Glutamatergic synapse
210044	mmu04724	Glutamatergic synapse
210274	mmu04724	Glutamatergic synapse
211429	mmu04724	Glutamatergic synapse
216227	mmu04724	Glutamatergic synapse
216456	mmu04724	Glutamatergic synapse
22063	mmu04724	Glutamatergic synapse
224129	mmu04724	Glutamatergic synapse
224997	mmu04724	Glutamatergic synapse
232889	mmu04724	Glutamatergic synapse
241638	mmu04724	Glutamatergic synapse
242443	mmu04724	Glutamatergic synapse
242607	mmu04724	Glutamatergic synapse
243961	mmu04724	Glutamatergic synapse
26413	mmu04724	Glutamatergic synapse
26417	mmu04724	Glutamatergic synapse
26556	mmu04724	Glutamatergic synapse
26557	mmu04724	Glutamatergic synapse
26558	mmu04724	Glutamatergic synapse
26562	mmu04724	Glutamatergic synapse
268934	mmu04724	Glutamatergic synapse
271844	mmu04724	Glutamatergic synapse
320129	mmu04724	Glutamatergic synapse
329502	mmu04724	Glutamatergic synapse
432530	mmu04724	Glutamatergic synapse
53623	mmu04724	Glutamatergic synapse
58234	mmu04724	Glutamatergic synapse
64337	mmu04724	Glutamatergic synapse
66066	mmu04724	Glutamatergic synapse
67760	mmu04724	Glutamatergic synapse
72961	mmu04724	Glutamatergic synapse
76257	mmu04724	Glutamatergic synapse
78390	mmu04724	Glutamatergic synapse
100043318	mmu04725	Cholinergic synapse
100503710	mmu04725	Cholinergic synapse
102633809	mmu04725	Cholinergic synapse
104110	mmu04725	Cholinergic synapse
104111	mmu04725	Cholinergic synapse
104709	mmu04725	Cholinergic synapse
108015	mmu04725	Cholinergic synapse
108058	mmu04725	Cholinergic synapse
110834	mmu04725	Cholinergic synapse
110862	mmu04725	Cholinergic synapse
11423	mmu04725	Cholinergic synapse
11438	mmu04725	Cholinergic synapse
11440	mmu04725	Cholinergic synapse
11441	mmu04725	Cholinergic synapse
11444	mmu04725	Cholinergic synapse
11512	mmu04725	Cholinergic synapse
11513	mmu04725	Cholinergic synapse
11514	mmu04725	Cholinergic synapse
11515	mmu04725	Cholinergic synapse
11651	mmu04725	Cholinergic synapse
11652	mmu04725	Cholinergic synapse
11911	mmu04725	Cholinergic synapse
12043	mmu04725	Cholinergic synapse
12286	mmu04725	Cholinergic synapse
12287	mmu04725	Cholinergic synapse
12288	mmu04725	Cholinergic synapse
12289	mmu04725	Cholinergic synapse
12292	mmu04725	Cholinergic synapse
12322	mmu04725	Cholinergic synapse
12323	mmu04725	Cholinergic synapse
12325	mmu04725	Cholinergic synapse
12326	mmu04725	Cholinergic synapse
12647	mmu04725	Cholinergic synapse
12669	mmu04725	Cholinergic synapse
12671	mmu04725	Cholinergic synapse
12672	mmu04725	Cholinergic synapse
12912	mmu04725	Cholinergic synapse
12913	mmu04725	Cholinergic synapse
14281	mmu04725	Cholinergic synapse
14360	mmu04725	Cholinergic synapse
